,location,age,gender,decisions,meaningful,personal_identity,Feeling_good,knowledge,expensive, not_available,uncertainty,preference,intention,purchased
331,North America,22-39,Female,2,3,3,3,1,3,2,3,2,1,0
332,North America,22-39,Female,1,3,3,3,2,2,3,2,3,2,1
333,North America,Under 22,Female,1,3,1,0,0,2,2,2,0,0,0
334,North America,52-70,Female,1,3,2,2,1,3,1,3,1,1,1
335,North America,Under 22,Female,3,3,3,3,3,2,1,1,3,3,2
336,North America,22-39,Female,3,3,2,2,0,3,2,4,2,2,1
337,North America,22-39,Female,2,3,2,2,1,1,1,2,2,1,2
338,North America,39-52,Female,1,2,2,2,0,2,2,3,2,1,1
339,North America,Under 22,Female,3,3,2,2,1,4,1,3,2,1,1
340,North America,22-39,Female,3,3,3,2,1,3,3,1,3,2,2
341,North America,22-39,Female,1,2,3,2,0,2,2,3,2,0,0
342,North America,Under 22,Male,1,3,1,3,1,3,3,3,2,1,1
343,Asia,22-39,Female,1,3,2,0,0,2,3,4,0,0,0
344,North America,Under 22,Female,1,2,3,2,1,3,2,2,3,2,2
345,North America,52-70,Female,0,3,3,3,1,4,0,4,1,3,1
346,North America,39-52,Female,2,3,3,3,0,4,4,3,2,1,0
347,North America,Under 22,Female,3,3,3,1,1,3,3,4,1,1,1
348,North America,22-39,Female,3,4,4,4,3,3,0,0,4,4,2
349,North America,22-39,Male,2,3,2,2,0,3,3,4,0,0,1
350,North America,52-70,Female,4,4,3,3,1,2,2,3,3,3,2
351,North America,Under 22,Female,0,2,1,0,0,4,4,4,0,0,0
352,North America,22-39,Female,2,3,2,3,0,2,3,2,2,0,1
353,North America,39-52,Female,4,4,4,4,3,1,1,1,4,4,2
354,North America,22-39,Male,4,3,3,2,0,3,2,3,1,2,1
355,North America,22-39,Female,3,3,3,2,2,3,2,3,3,3,2
356,North America,22-39,Female,3,3,3,2,0,3,2,3,0,3,1
357,North America,22-39,Female,2,4,3,3,1,2,2,3,2,2,1
358,North America,22-39,Female,1,2,3,0,0,4,1,3,0,0,1
359,North America,22-39,Female,3,3,4,3,1,3,2,3,3,3,1
360,North America,Under 22,Female,3,2,0,2,2,4,1,1,2,2,2
361,North America,52-70,Female,3,3,3,3,0,4,2,3,1,0,0
362,North America,22-39,Female,3,3,1,1,1,3,3,3,1,1,1
363,North America,22-39,Female,1,2,1,1,0,2,2,3,2,2,1
364,North America,Under 22,Female,3,3,3,3,2,1,1,2,3,2,2
365,North America,22-39,Female,0,1,1,0,0,4,3,4,1,0,0
366,North America,52-70,Female,4,4,3,3,1,3,1,3,3,2,2
367,North America,Under 22,Male,2,2,2,2,1,2,3,3,2,0,1
368,North America,22-39,Female,2,3,4,4,4,3,4,0,2,3,1
369,North America,22-39,Female,1,3,2,3,1,3,1,3,3,1,1
370,Asia,22-39,Female,4,4,4,4,4,0,0,0,4,4,2
371,North America,22-39,Female,4,3,3,2,2,3,1,1,3,3,2
372,North America,Under 22,Female,3,3,3,3,1,3,1,2,3,0,2
373,North America,Under 22,Female,3,3,3,2,1,3,1,4,3,1,1
374,North America,Under 22,Female,0,3,0,2,0,3,1,3,1,1,0
375,Australia,22-39,Female,3,3,3,1,2,2,1,3,3,3,1
376,North America,Under 22,Female,4,4,4,3,2,4,4,4,3,2,2
377,North America,Under 22,Female,3,3,2,3,1,3,2,3,1,0,1
378,North America,Under 22,Female,4,4,4,4,3,3,0,2,4,3,2
379,North America,22-39,Female,2,3,2,3,0,2,2,4,2,0,1
380,North America,22-39,Female,3,3,3,3,0,3,2,3,1,1,1
381,Asia,Under 22,Female,3,2,3,4,3,3,1,2,4,3,1
382,North America,22-39,Female,3,3,1,2,1,1,1,3,3,1,0
383,North America,22-39,Female,3,4,4,3,2,3,1,2,3,3,2
384,North America,39-52,Female,1,1,3,2,1,2,3,1,3,2,2
385,North America,22-39,Female,3,3,3,4,4,4,2,4,2,3,1
